Task Text,Category,Difficulty,Deadline (days),Time Taken (hours),Importance
cramming STATS exam - low priority,Exam,Medium,6,5.4,Low
all nighter for need to review database for midterm asap,Exam,Medium,1,5.3,High
research report biology,Project,Hard,3,5.3,Medium
submit cs assignment,Homework,Medium,3,2.2,Medium
comp sci homework ch4 lol whenever,Homework,Medium,7,3.5,Low
finish STATS assignment someday,Homework,Hard,7,4.2,Low
submit AI assignment asap,Homework,Medium,1,3.0,High
math project draft v2,Project,Hard,7,5.9,Low
DB test - this week,Quiz,Hard,4,1.7,Medium
finish code hw tmr!!,Homework,Medium,2,2.8,High
hw ai ch2-3 no rush,Homework,Medium,6,1.8,Low
Stats hw ch4 - due tomorrow,Homework,Easy,2,1.5,High
STATS report draft no rush,Project,Medium,6,2.8,Low
quiz review biology lol whenever,Quiz,Easy,7,0.9,Low
eng presentation slides,Project,Medium,3,5.1,Medium
ai quiz ch3,Quiz,Hard,5,2.6,Medium
lit lab report ASAP,Project,Hard,2,4.4,High
💀 study for phys midterm DUE TOMORROW,Exam,Hard,2,6.0,High
review writing notes for exam - this week,Exam,Hard,4,4.9,Medium
FINAL EXAM networks scheduled,Exam,Medium,3,3.8,Medium
finish Physics project ASAP,Project,Easy,2,2.5,High
hw comp sci ch9-10,Homework,Hard,6,3.5,Low
Networks problem set 10 asap,Homework,Hard,1,3.8,High
STATS homework problems tmr!!,Homework,Easy,1,1.7,High
review MATH notes for exam,Exam,Easy,7,3.0,Low
machine learning project research,Project,Medium,4,5.5,Medium
do the stats hw lol whenever,Homework,Hard,6,4.1,Low
software exam study whenever,Exam,Medium,7,3.9,Low
mini test Chem tmr,Quiz,Hard,1,1.8,High
HELP English finals study session - due tomorrow,Exam,Hard,1,6.1,High
ai hw problems 6-10 - this week,Homework,Hard,4,4.7,Medium
Stats quiz prep,Quiz,Hard,1,2.9,High
quiz review lit,Quiz,Easy,7,0.5,Low
omg Physics midterm prep tonight rn,Exam,Easy,1,2.6,High
chemm midterm prep,Exam,Hard,5,4.8,Medium
mini test CHEM someday,Quiz,Medium,7,0.6,Low
PHYS exam study no rush,Exam,Hard,6,6.6,Low
code quiz idk what chapters,Quiz,Easy,5,0.9,Medium
English assignment idk which one due tonight,Homework,Medium,2,1.7,High
eng quiz (ch1-3) tonight,Quiz,Easy,2,0.8,High
finish programming assignment asap,Homework,Hard,1,3.2,High
study for stats quiz tonight,Quiz,Easy,1,1.0,High
chemistry hw ch1 idk when,Homework,Medium,6,2.6,Low
review everything for eng exam,Exam,Easy,5,2.9,Medium
coding assignment ch6,Homework,Easy,4,0.9,Medium
writing exam practice - low priority,Exam,Medium,7,4.1,Low
BIO quiz tmr!!,Quiz,Hard,1,2.7,High
dbms assignment idk which one working on it,Homework,Medium,5,1.6,Medium
💀 review everything for lit exam tomorrow 😭,Exam,Hard,1,6.2,High
submit code assignment !!,Homework,Easy,1,1.8,High
Bio quiz idk what chapters someday,Quiz,Medium,7,0.7,Low
bioo problem set 4,Homework,Hard,6,3.5,Low
ppt for networking project,Project,Medium,5,4.9,Medium
study for database quiz this week,Quiz,Easy,4,0.6,Medium
algebra exam practice working on it,Exam,Medium,4,5.4,Medium
do the chem hw due tonight,Homework,Hard,2,4.0,High
ai report draft,Project,Easy,4,3.4,Medium
MATH slides - this week,Project,Hard,3,5.4,Medium
physics problem set 7 tmr!!,Homework,Medium,1,2.9,High
oh no maths exam tmr study tonight rn,Exam,Hard,1,6.7,High
CS exercises ch2 asap,Homework,Medium,2,3.0,High
cramming nets exam,Exam,Medium,4,4.1,Medium
study for Stats exam need to finish,Exam,Hard,3,5.8,Medium
that code quiz no rush,Quiz,Medium,7,0.6,Low
quick BIO quiz study tomorrow 😭,Quiz,Easy,2,0.5,High
bioo assignment ch9 no rush tho,Homework,Easy,7,0.7,Low
stat hw problems 3-7 whenever,Homework,Easy,7,1.5,Low
deep learning exam practice,Exam,Hard,7,5.9,Low
cs pop quiz gotta do this,Quiz,Easy,4,1.4,Medium
eng quiz,Quiz,Easy,4,1.2,Medium
research report Stats,Project,Easy,6,2.5,Low
prep for ML quiz no rush,Quiz,Medium,7,1.0,Low
finish comp sci assignment,Homework,Easy,3,0.8,Medium
Math homework ch1 eventually lol,Homework,Hard,7,4.7,Low
the STATS project thing tonight,Project,Hard,2,5.0,High
HELP study for stat exam tonight rn,Exam,Hard,2,6.3,High
submit MATH project tmr 😭,Project,Hard,2,6.3,High
physics quiz ch5 lol whenever,Quiz,Easy,6,1.1,Low
do english hw,Homework,Easy,7,0.8,Low
finish cs assignment gotta do this,Homework,Hard,3,3.3,Medium
URGENT: need to review eng for midterm asap,Exam,Hard,2,6.9,High
networking final project - this week,Project,Medium,5,4.2,Medium
cramming networks exam,Exam,Medium,5,5.0,Medium
stat pop quiz need to finish,Quiz,Hard,4,2.7,Medium
oh no DB quiz - low priority,Quiz,Medium,6,1.5,Low
omg FINAL EXAM AI due tonight,Exam,Hard,1,4.3,High
chemm quiz (ch7-9) ASAP,Quiz,Easy,1,1.2,High
prep for database midterm asap,Exam,Medium,2,3.1,High
forgot about study Physics ch7 for exam !!,Exam,Medium,1,5.4,High
all nighter for review everything for DB exam tomorrow 😭,Exam,Hard,2,5.8,High
calc project (group work) whenever,Project,Hard,6,4.2,Low
code project research need to finish,Project,Hard,4,4.9,Medium
English project report this week,Project,Medium,3,3.6,Medium
stat report draft ASAP,Project,Hard,2,4.9,High
that physics assignment whenever,Homework,Easy,7,1.1,Low
chem project (group work) urgent!!,Project,Hard,2,6.7,High
STATS pop quiz someday,Quiz,Medium,6,1.1,Low
the network project thing due tmr!!,Project,Medium,1,2.9,High
that BIO quiz,Quiz,Medium,7,0.5,Low
study for dbms midterm this week,Exam,Hard,4,4.9,Medium
bio quiz idk what chapters - low priority,Quiz,Hard,6,2.0,Low
research report PHYS,Project,Hard,2,4.1,High
mini test bioo scheduled,Quiz,Easy,3,0.8,Medium
research report Bio tmr 😭,Project,Hard,1,5.4,High
FINAL EXAM machine learning,Exam,Easy,3,3.8,Medium
lit assignment ch5 gotta do this,Homework,Medium,3,2.9,Medium
oh no coding quiz idk when,Quiz,Hard,6,2.6,Low
study for bio midterm,Exam,Medium,3,3.6,Medium
ugh programming quiz tmr!!,Quiz,Hard,2,2.5,High
PHYS exam revision lol whenever,Exam,Hard,6,4.1,Low
biology lab report,Project,Hard,6,5.4,Low
phys hw sheet 6 gotta do this,Homework,Hard,5,4.1,Medium
oh no nets quiz,Quiz,Medium,4,0.9,Medium
Physics report draft,Project,Hard,1,6.8,High
quiz review database - this week,Quiz,Medium,4,1.3,Medium
panic mode: CS finals study session literally tonight,Exam,Hard,1,4.5,High
oh no Chem quiz someday,Quiz,Medium,7,0.7,Low
calc hw sheet 9 this week,Homework,Hard,5,4.3,Medium
prep for deep learning quiz tonight,Quiz,Easy,1,1.4,High
mini test PHYS,Quiz,Medium,4,0.9,Medium
oh no review everything for networks exam tmr help,Exam,Medium,1,4.3,High
revise DB for final gotta do this,Exam,Hard,3,4.3,Medium
write ai report,Project,Medium,7,3.7,Low
omg study for nets exam asap,Exam,Easy,1,2.1,High
review deep learning notes for exam gotta do this,Exam,Easy,5,2.8,Medium
stat quiz prep,Quiz,Medium,7,0.8,Low
Networks hw?? ch10,Homework,Hard,6,2.7,Low
English exercises ch6 - due tomorrow,Homework,Medium,2,3.4,High
Chem final project need to finish,Project,Hard,4,6.5,Medium
FINAL EXAM MATH no rush,Exam,Medium,7,4.8,Low
review everything for physics exam gotta do this,Exam,Hard,5,4.2,Medium
that DB quiz,Quiz,Medium,1,0.7,High
deep learning project submission - this week,Project,Hard,4,4.1,Medium
the ml project thing ASAP,Project,Medium,2,4.9,High
panic mode: Bio exam tmr study ASAP!!,Exam,Medium,2,3.1,High
review chemm notes for exam no rush tho,Exam,Hard,6,6.3,Low
prep for ML quiz,Quiz,Easy,6,1.3,Low
the stat project thing eventually lol,Project,Medium,6,3.3,Low
code project research ASAP,Project,Hard,1,6.3,High
PHYS project (group work),Project,Hard,5,5.0,Medium
group project eng due tmr!!,Project,Medium,1,3.6,High
ppt for stats project,Project,Medium,2,4.1,High
chemm presentation slides scheduled,Project,Hard,5,4.9,Medium
english presentation slides someday,Project,Easy,6,3.8,Low
ML project research,Project,Medium,5,3.6,Medium
study for ml midterm - due tomorrow,Exam,Hard,2,5.7,High
do software hw gotta do this,Homework,Medium,5,3.0,Medium
revise ml for final,Exam,Hard,4,6.3,Medium
the deep learning project thing,Project,Hard,3,6.0,Medium
study for calculus midterm - due tomorrow,Exam,Hard,1,6.2,High
quiz review programming tomorrow 😭,Quiz,Hard,1,2.1,High
cramming Stats exam,Exam,Easy,7,2.9,Low
prep for bioo midterm no rush,Exam,Hard,6,7.0,Low
review Stats for quiz tonight,Quiz,Medium,1,0.8,High
chemistry assignment idk which one - due tomorrow,Homework,Medium,1,3.5,High
ai project (group work) scheduled,Project,Easy,3,3.3,Medium
do the AI hw,Homework,Medium,7,3.4,Low
that chem assignment - due tomorrow,Homework,Hard,2,3.8,High
review everything for eng exam,Exam,Hard,4,5.0,Medium
chem project (group work) idk when,Project,Hard,7,4.3,Low
all nighter for stats midterm prep ASAP!!,Exam,Medium,2,4.2,High
eng quiz practice,Quiz,Easy,3,1.3,Medium
finish database hw - this week,Homework,Medium,3,2.8,Medium
maths project report,Project,Hard,3,4.0,Medium
programming quiz tmr!!,Quiz,Easy,1,1.1,High
submit deep learning project this week,Project,Hard,3,5.6,Medium
omg PHYS exam revision !!,Exam,Medium,1,3.9,High
MATH quiz practice,Quiz,Hard,5,2.6,Medium
Networks lab report,Project,Medium,5,4.2,Medium
MATH presentation slides this week,Project,Medium,3,5.0,Medium
group project statistics whenever,Project,Medium,6,4.2,Low
study database ch8 for exam idk when,Exam,Easy,7,2.6,Low
panic mode: study chemm ch7 for exam tonight rn,Exam,Medium,2,5.0,High
gotta study DB exam,Exam,Hard,6,4.4,Low
gotta study chemm exam lol whenever,Exam,Easy,7,2.2,Low
study for bioo midterm this week,Exam,Hard,5,4.7,Medium
quick STATS quiz study tomorrow 😭,Quiz,Medium,2,1.6,High
do BIO hw someday,Homework,Medium,6,2.6,Low
calc quiz practice,Quiz,Hard,2,1.7,High
finish CS project,Project,Hard,4,5.4,Medium
that dbms assignment gotta do this,Homework,Easy,5,0.7,Medium
physics hw sheet 1 DUE TOMORROW,Homework,Medium,2,3.1,High
Bio quiz someday,Quiz,Easy,7,0.5,Low
ml problem set 7 eventually lol,Homework,Medium,7,2.5,Low
ai test eventually lol,Quiz,Easy,7,1.3,Low
db quiz (ch5-7) tmr,Quiz,Medium,2,1.5,High
finish bio assignment whenever,Homework,Easy,7,1.3,Low
group project Stats need to finish,Project,Hard,4,5.9,Medium
study for Bio exam,Exam,Medium,3,4.4,Medium
Chem final project - this week,Project,Medium,5,3.1,Medium
finish writing hw,Homework,Medium,7,2.7,Low
group project ML tonight,Project,Medium,1,4.5,High
do physics hw scheduled,Homework,Hard,3,4.8,Medium
mini test db,Quiz,Medium,6,1.2,Low
writing final exam study this week,Exam,Medium,5,5.3,Medium
study for deep learning exam DUE TOMORROW,Exam,Medium,2,4.8,High
those stats problems from class due tmr,Homework,Medium,1,2.4,High
bio assignment ch9 tonight rn,Homework,Easy,1,1.5,High
Physics project draft v4 urgent!!,Project,Medium,1,3.1,High
💀 biology final exam study due tonight,Exam,Hard,2,6.9,High
those dbms problems from class need to finish,Homework,Medium,5,1.6,Medium
database project submission lol whenever,Project,Medium,7,5.5,Low
bio problem set 1 gotta do this,Homework,Hard,5,3.7,Medium
finish writing project ASAP,Project,Medium,1,5.3,High
database weekly quiz tmr!!,Quiz,Medium,1,2.0,High
review everything for ai exam idk when,Exam,Medium,6,4.2,Low
review network for quiz - this week,Quiz,Hard,5,1.6,Medium
mini test eng working on it,Quiz,Hard,5,2.6,Medium
network hw (the hard one),Homework,Easy,7,1.1,Low
prep for english quiz need to finish,Quiz,Easy,5,0.5,Medium
panic mode: programming final exam study literally tonight,Exam,Medium,1,3.2,High
panic mode: network midterm prep tomorrow 😭,Exam,Medium,1,3.7,High
network quiz - low priority,Quiz,Hard,6,2.9,Low
oh no coding quiz,Quiz,Easy,7,1.0,Low
do English hw tmr!!,Homework,Hard,1,2.6,High
writing quiz 10 tonight,Quiz,Medium,2,1.8,High
all nighter for bio exam revision DUE TOMORROW,Exam,Medium,2,3.6,High
submit ML project,Project,Medium,6,2.7,Low
study stats ch9 for exam eventually lol,Exam,Easy,7,3.7,Low
deep learning quiz prep scheduled,Quiz,Easy,3,1.5,Medium
physics homework problems due tonight,Homework,Hard,2,3.4,High
BIO quiz someday,Quiz,Easy,7,0.7,Low
finish db project whenever,Project,Medium,7,3.6,Low
study for machine learning final eventually lol,Exam,Hard,6,5.9,Low
😭 Stats exam practice DUE TOMORROW,Exam,Easy,2,2.2,High
study for machine learning exam working on it,Exam,Medium,5,4.3,Medium
statistics quiz 5 this week,Quiz,Medium,5,0.6,Medium
review software for quiz someday,Quiz,Medium,6,1.8,Low
code assignment ch5 DUE TOMORROW,Homework,Medium,1,1.7,High
CS presentation slides gotta do this,Project,Hard,3,6.9,Medium
stat hw ch7 !!,Homework,Easy,1,1.1,High
cramming Networks exam this week,Exam,Medium,4,5.0,Medium
ML project draft v5 lol whenever,Project,Medium,7,3.8,Low
cramming writing exam scheduled,Exam,Hard,5,5.3,Medium
ML slides,Project,Medium,3,5.2,Medium
db problem set 4 tomorrow 😭,Homework,Medium,1,2.5,High
solve db problems 9 to 14 - low priority,Homework,Medium,6,2.4,Low
Physics lab report eventually lol,Project,Hard,7,6.1,Low
Networks exam study lol whenever,Exam,Hard,6,6.4,Low
work on cs project working on it,Project,Medium,5,4.7,Medium
algebra hw sheet 10 ASAP!!,Homework,Medium,1,2.5,High
software exam practice,Exam,Hard,5,6.4,Medium
oh no cramming statistics exam !!,Exam,Hard,2,5.4,High
networking problem set 1 idk when,Homework,Easy,6,1.6,Low
mini test math tmr!!,Quiz,Easy,2,1.1,High
prep for PHYS quiz eventually lol,Quiz,Medium,6,1.0,Low
phys quiz practice,Quiz,Medium,7,1.1,Low
writing project draft v5,Project,Medium,3,4.4,Medium
software project report,Project,Medium,3,5.2,Medium
networking homework problems need to finish,Homework,Easy,4,1.4,Medium
submit lit project tmr 😭,Project,Medium,1,3.8,High
study chem ch5 for exam scheduled,Exam,Medium,5,3.8,Medium
ML presentation slides urgent!!,Project,Hard,1,6.0,High
bio hw problems 8-12 no rush tho,Homework,Hard,7,4.7,Low
ugh databases quiz,Quiz,Hard,7,1.9,Low
network assignment idk which one tonight rn,Homework,Medium,2,2.0,High
oh no calc quiz,Quiz,Medium,3,1.1,Medium
Physics exercises ch9,Homework,Medium,3,1.8,Medium
finish eng assignment asap,Homework,Medium,2,1.6,High
ugh Stats quiz ASAP,Quiz,Hard,2,2.8,High
prep for statistics quiz no rush tho,Quiz,Easy,7,0.7,Low
need to review AI for midterm !!,Exam,Medium,1,5.2,High
networks exam tmr study working on it,Exam,Medium,4,4.7,Medium
quiz review machine learning,Quiz,Medium,2,1.2,High
chem hw (the hard one) - this week,Homework,Hard,5,3.0,Medium
finish bioo hw gotta do this,Homework,Medium,3,1.9,Medium
cs slides tonight,Project,Medium,1,4.8,High
do chemistry hw tomorrow 😭,Homework,Easy,1,0.8,High
panic mode: prep for stat midterm literally tonight,Exam,Hard,2,5.2,High
study for phys exam no rush,Exam,Medium,6,4.0,Low
nets quiz idk what chapters whenever,Quiz,Easy,7,1.4,Low
DB project research,Project,Medium,4,2.6,Medium
study for Stats exam working on it,Exam,Medium,3,3.8,Medium
stats pop quiz - low priority,Quiz,Medium,7,1.4,Low
Math midterm prep,Exam,Easy,3,3.2,Medium
quick chemistry quiz study tomorrow 😭,Quiz,Medium,1,0.8,High
review everything for comp sci exam,Exam,Hard,3,6.5,Medium
finish Chem assignment working on it,Homework,Medium,3,3.4,Medium
panic mode: gotta study maths exam tmr!!,Exam,Hard,2,6.3,High
do the chem hw eventually lol,Homework,Hard,6,4.7,Low
that big Networks project lol whenever,Project,Easy,7,1.9,Low
bioo assignment idk which one ASAP!!,Homework,Hard,2,3.4,High
Physics project research,Project,Medium,4,3.6,Medium
lit exam practice scheduled,Exam,Medium,5,5.0,Medium
group project Physics,Project,Hard,5,5.5,Medium
Physics hw problems 10-12,Homework,Hard,5,3.5,Medium
databases project (group work) tonight,Project,Easy,2,2.7,High
CHEM final project urgent!!,Project,Hard,1,5.2,High
do the dbms hw working on it,Homework,Medium,3,3.4,Medium
Bio quiz prep,Quiz,Easy,4,1.2,Medium
research report ml working on it,Project,Medium,4,4.3,Medium
finish DB project,Project,Hard,3,5.0,Medium
those CS problems from class,Homework,Hard,5,3.0,Medium
mini test physics,Quiz,Medium,1,1.4,High
group project databases tmr 😭,Project,Easy,2,2.8,High
💀 cs final exam study tonight rn,Exam,Easy,1,2.3,High
chemm group project presentation no rush tho,Project,Medium,6,3.6,Low
quiz review PHYS gotta do this,Quiz,Medium,5,1.0,Medium
that phys quiz tonight,Quiz,Easy,2,0.7,High
review everything for calculus exam,Exam,Hard,5,4.3,Medium
do the Bio hw due tonight,Homework,Hard,1,4.9,High
comp sci pop quiz ASAP,Quiz,Easy,2,1.5,High
gotta study CHEM exam,Exam,Hard,7,6.5,Low
do phys hw lol whenever,Homework,Medium,7,1.8,Low
stat project research urgent!!,Project,Hard,1,4.3,High
algebra lab report,Project,Easy,5,2.1,Medium
study for ml final DUE TOMORROW,Exam,Hard,2,5.8,High
coding hw (the hard one) eventually lol,Homework,Medium,7,1.7,Low
forgot about software test study tmr help,Exam,Hard,1,5.4,High
do networks hw,Homework,Medium,3,2.7,Medium
code problem set 5,Homework,Medium,4,2.8,Medium
stat project research gotta do this,Project,Medium,3,4.2,Medium
deep learning exam practice,Exam,Hard,7,4.6,Low
finish Networks hw this week,Homework,Medium,4,1.7,Medium
prep for deep learning midterm gotta do this,Exam,Hard,4,5.6,Medium
prep for calc midterm this week,Exam,Medium,3,4.8,Medium
review physics for quiz gotta do this,Quiz,Medium,3,1.7,Medium
oh no maths quiz need to finish,Quiz,Easy,3,1.3,Medium
research report english whenever,Project,Hard,6,5.9,Low
review math for quiz - this week,Quiz,Medium,5,1.6,Medium
study for chemm exam gotta do this,Exam,Hard,3,5.1,Medium
submit Chem project working on it,Project,Hard,4,5.4,Medium
lit assignment ch1 need to finish,Homework,Medium,4,2.0,Medium
databases test this week,Quiz,Easy,4,1.4,Medium
coding homework ch7 idk when,Homework,Medium,6,2.3,Low
writing exercises ch3,Homework,Hard,6,4.9,Low
DB hw?? ch5,Homework,Easy,5,1.1,Medium
study Networks ch6 for exam,Exam,Medium,6,3.1,Low
research report Physics - this week,Project,Hard,5,5.7,Medium
networks slides gotta do this,Project,Medium,4,4.8,Medium
comp sci final exam study,Exam,Medium,4,4.7,Medium
do English hw tomorrow 😭,Homework,Hard,1,3.4,High
ML exam practice,Exam,Hard,3,4.7,Medium
Stats quiz,Quiz,Hard,7,1.6,Low
work on calc project - low priority,Project,Medium,6,4.0,Low
algebra assignment idk which one tmr!!,Homework,Medium,2,3.2,High
code exercises ch7 no rush tho,Homework,Easy,6,0.7,Low
quiz review statistics this week,Quiz,Medium,4,1.6,Medium
do biology hw eventually lol,Homework,Hard,6,4.4,Low
submit writing project ASAP,Project,Medium,1,5.4,High
quiz review dbms - this week,Quiz,Medium,5,1.9,Medium
prep for Networks quiz,Quiz,Medium,4,1.3,Medium
English pop quiz gotta do this,Quiz,Easy,3,0.5,Medium
deep learning project (group work),Project,Medium,5,2.8,Medium
PHYS quiz practice whenever,Quiz,Medium,7,1.5,Low
bio homework ch6 lol whenever,Homework,Easy,6,1.2,Low
that lit quiz,Quiz,Hard,7,2.1,Low
FINAL EXAM Math scheduled,Exam,Medium,3,4.7,Medium
that ML quiz tonight,Quiz,Medium,2,1.4,High
do lit hw working on it,Homework,Medium,4,3.1,Medium
quick algebra quiz study tonight,Quiz,Easy,2,1.4,High
DB hw sheet 7 !!,Homework,Medium,1,2.0,High
FINAL EXAM english,Exam,Medium,7,3.5,Low
all nighter for study for chemm midterm asap,Exam,Easy,2,2.9,High
revise for lit quiz no rush,Quiz,Easy,7,1.0,Low
submit databases assignment DUE TOMORROW,Homework,Easy,1,1.5,High
that big calc project urgent!!,Project,Medium,2,4.6,High
algebra quiz,Quiz,Hard,2,2.2,High
ppt for networking project tonight,Project,Medium,2,3.9,High
group project statistics,Project,Medium,2,2.6,High
do the writing hw tonight rn,Homework,Medium,2,2.9,High
study for code quiz tmr!!,Quiz,Easy,1,0.9,High
review machine learning for quiz,Quiz,Easy,5,0.7,Medium
quick BIO quiz study tomorrow 😭,Quiz,Medium,1,0.5,High
finish STATS project,Project,Medium,6,3.6,Low
network problem set 2 no rush tho,Homework,Hard,6,4.6,Low
coding exercises ch7 due tonight,Homework,Easy,2,1.2,High
finish Physics project someday,Project,Easy,6,3.1,Low
oh no review Math notes for exam asap,Exam,Easy,1,2.4,High
research report phys - low priority,Project,Medium,7,3.5,Low
BIO quiz practice tonight,Quiz,Medium,1,0.6,High
the calc project thing - low priority,Project,Medium,6,3.9,Low
Networks final exam study,Exam,Hard,4,7.0,Medium
finish ML assignment need to finish,Homework,Medium,4,3.0,Medium
deep learning report draft no rush tho,Project,Medium,6,4.4,Low
quiz review stat tmr!!,Quiz,Easy,2,1.1,High
English finals study session asap,Exam,Hard,1,6.0,High
work on stats project working on it,Project,Easy,4,3.4,Medium
prep for chemistry quiz working on it,Quiz,Medium,5,1.1,Medium
review nets for quiz lol whenever,Quiz,Easy,6,0.7,Low
cs slides need to finish,Project,Hard,3,5.8,Medium
revise statistics for final,Exam,Medium,5,3.4,Medium
study for STATS quiz,Quiz,Easy,1,1.0,High
ML exam study idk when,Exam,Hard,7,4.6,Low
research report deep learning ASAP,Project,Medium,2,5.3,High
cs pop quiz this week,Quiz,Easy,3,1.4,Medium
Physics project submission,Project,Hard,7,6.5,Low
stats hw (the hard one),Homework,Easy,5,1.9,Medium
finish database project urgent!!,Project,Medium,2,4.6,High
all nighter for study for stats exam ASAP!!,Exam,Hard,1,5.2,High
that ML assignment !!,Homework,Medium,1,2.2,High
programming quiz ch6 - low priority,Quiz,Medium,6,0.9,Low
that stats assignment - this week,Homework,Hard,5,4.2,Medium
db hw problems 9-11 due tonight,Homework,Hard,2,2.7,High
oh no statistics final exam study tomorrow 😭,Exam,Hard,2,4.6,High
oh no study for bio midterm tomorrow 😭,Exam,Medium,2,5.1,High
eng presentation slides,Project,Hard,6,4.0,Low
that coding assignment no rush tho,Homework,Medium,6,2.6,Low
study for math final someday,Exam,Hard,6,6.1,Low
ai midterm prep,Exam,Hard,3,6.9,Medium
chemm quiz idk what chapters tmr,Quiz,Medium,1,1.3,High
chem report draft lol whenever,Project,Medium,7,2.9,Low
study for software quiz,Quiz,Medium,7,1.0,Low
forgot about bioo exam tmr study tomorrow 😭,Exam,Hard,1,4.6,High
Networks final exam study scheduled,Exam,Hard,5,5.4,Medium
FINAL EXAM networking someday,Exam,Hard,6,4.4,Low
review everything for ML exam,Exam,Hard,6,4.2,Low
Physics report draft,Project,Medium,7,3.7,Low
group project algebra ASAP,Project,Hard,1,4.4,High
finish chemm assignment tmr help,Homework,Medium,2,3.1,High
revise CHEM for final no rush,Exam,Easy,7,2.3,Low
Math assignment ch9 this week,Homework,Medium,5,3.4,Medium
HELP database exam study literally tonight,Exam,Hard,2,7.0,High
do CS hw tomorrow 😭,Homework,Easy,2,1.4,High
that stats quiz,Quiz,Easy,5,1.0,Medium
dbms project draft v2 this week,Project,Hard,3,5.7,Medium
BIO project research gotta do this,Project,Hard,4,4.3,Medium
DB quiz 9 no rush,Quiz,Medium,6,1.7,Low
that biology assignment idk when,Homework,Easy,7,2.0,Low
study writing ch2 for exam tonight rn,Exam,Medium,2,5.1,High
ugh bioo quiz,Quiz,Easy,3,0.7,Medium
ML presentation slides,Project,Hard,7,5.7,Low
all nighter for revise programming for final tmr help,Exam,Medium,1,4.3,High
study db ch1 for exam tmr help,Exam,Medium,1,3.7,High
english project research tonight,Project,Hard,1,4.7,High
finish chem project,Project,Medium,4,4.0,Medium
databases quiz practice,Quiz,Medium,4,1.1,Medium
BIO quiz prep idk when,Quiz,Medium,7,1.2,Low
PHYS project draft v4 whenever,Project,Medium,7,3.6,Low
database quiz prep - this week,Quiz,Easy,3,1.3,Medium
ppt for software project lol whenever,Project,Medium,7,5.0,Low
review physics for quiz need to finish,Quiz,Medium,5,1.3,Medium
FINAL EXAM chemistry working on it,Exam,Hard,5,4.6,Medium
nets project submission tonight,Project,Hard,1,7.0,High
prep for networks midterm,Exam,Hard,7,4.9,Low
mini test network no rush,Quiz,Medium,7,1.1,Low
finish algebra assignment DUE TOMORROW,Homework,Medium,2,3.2,High
writing homework ch7 tmr help,Homework,Medium,1,3.5,High
study for db quiz,Quiz,Medium,5,0.7,Medium
phys pop quiz tomorrow 😭,Quiz,Medium,2,1.5,High
Physics quiz prep tonight,Quiz,Easy,1,0.7,High
review DB for quiz,Quiz,Easy,4,0.7,Medium
revise for lit quiz no rush,Quiz,Medium,6,1.7,Low
algebra quiz idk what chapters scheduled,Quiz,Hard,3,2.5,Medium
finish deep learning assignment - due tomorrow,Homework,Easy,2,1.7,High
databases hw (the hard one) scheduled,Homework,Hard,4,3.9,Medium
hw dbms ch1-2,Homework,Hard,6,4.0,Low
study for bioo midterm scheduled,Exam,Medium,5,3.1,Medium
study for BIO quiz tonight,Quiz,Hard,1,2.2,High
work on chemm project,Project,Medium,7,3.4,Low
review bio for quiz working on it,Quiz,Easy,3,1.4,Medium
those calculus problems from class tonight rn,Homework,Medium,2,1.8,High
english problem set 7 working on it,Homework,Easy,5,1.2,Medium
that big math project this week,Project,Easy,5,2.3,Medium
study ML ch9 for exam,Exam,Hard,7,5.2,Low
finish ML assignment - low priority,Homework,Hard,6,4.2,Low
submit algebra project,Project,Hard,3,5.8,Medium
bio problem set 9 due tmr,Homework,Medium,2,3.3,High
oh no statistics quiz - this week,Quiz,Easy,4,0.8,Medium
software test gotta do this,Quiz,Hard,5,2.2,Medium
cramming physics exam scheduled,Exam,Hard,5,4.1,Medium
ugh coding quiz tomorrow 😭,Quiz,Hard,2,1.7,High
stats assignment idk which one - low priority,Homework,Medium,6,3.5,Low
stats project submission - this week,Project,Easy,5,1.7,Medium
oh no software final exam study - due tomorrow,Exam,Hard,1,5.5,High
Networks hw sheet 5 ASAP!!,Homework,Hard,1,4.9,High
PHYS quiz prep,Quiz,Hard,3,2.2,Medium
BIO project research urgent!!,Project,Medium,1,5.2,High
mini test english tmr!!,Quiz,Easy,1,0.9,High
revise software for final,Exam,Hard,7,6.1,Low
stats group project presentation this week,Project,Medium,5,4.0,Medium
chemm problem set 7 need to finish,Homework,Easy,4,0.6,Medium
work on Bio project,Project,Hard,7,4.2,Low
do the phys hw gotta do this,Homework,Medium,4,3.0,Medium
chemm test eventually lol,Quiz,Easy,7,1.3,Low
comp sci slides no rush,Project,Hard,6,5.2,Low
that big cs project whenever,Project,Hard,6,4.7,Low
Physics report draft ASAP,Project,Medium,1,4.3,High
do CHEM hw,Homework,Hard,6,3.1,Low
finish bioo hw need to finish,Homework,Medium,5,3.5,Medium
deep learning homework problems scheduled,Homework,Hard,5,2.7,Medium
quiz review calc,Quiz,Easy,1,0.7,High
quick bio quiz study tmr!!,Quiz,Easy,1,0.6,High
English report draft,Project,Medium,4,5.2,Medium
review chemistry for quiz this week,Quiz,Hard,3,2.2,Medium
physics assignment idk which one need to finish,Homework,Easy,5,1.8,Medium
ml final project,Project,Medium,1,3.6,High
algebra quiz prep someday,Quiz,Easy,7,0.7,Low
db midterm prep idk when,Exam,Easy,6,2.7,Low
